cliente_id,edad,genero,ciudad,departamento,ocupacion,ingreso_declarado,kyc_nivel,canal_adquisicion,antiguedad_meses,recencia_dias,frecuencia_tx,monto_total,monto_promedio,ticket_mediano,pct_tx_internacional,num_categorias_mcc,canal_preferido,gasto_promedio_mensual,saldo_promedio_ult3m,num_sesiones_ult30d,duracion_sesion_promedio,os_principal,num_tickets,csat_promedio,tiene_credito,score_buro,abandono,gasto_proximo_trim
3000001,37,M,Bucaramanga,Santander,empleado,3274300,nivel_2,organico,6,2,132,4744200,35941,30400,0.03,10,app_qr,563283,817000,40,41.7,Android,1,2.9,0,,0,2766700
3000002,36,F,Cali,Valle del Cauca,empleado,2200300,nivel_3,ads_google,43,19,25,914100,36564,32800,0.04,8,tarjeta,50687,360800,3,51.5,Android,1,2.2,0,,0,61500
3000003,46,F,Bogota,Bogota DC,estudiante,417800,nivel_1,referido,32,6,22,255600,11618,9350,0.091,7,app_qr,11020,113900,9,46,Android,0,,0,,0,40300
3000004,25,F,Bogota,Bogota DC,independiente,1384300,nivel_1,ads_google,29,1,14,299700,21407,15650,0.071,7,app_qr,18787,722800,4,33.7,Android,1,5,0,,0,95800
3000005,27,M,Cali,Valle del Cauca,independiente,1105300,nivel_2,organico,2,23,7,120100,17157,16600,0.143,4,app_qr,45500,480000,1,99.6,iOS,0,,0,,0,48800
3000006,35,F,Bogota,Bogota DC,empleado,1915500,nivel_1,ads_meta,45,21,35,927200,26491,18300,0.057,9,app_qr,37147,1036900,4,48.9,Android,1,4.2,0,,0,114900
3000007,18,F,Cali,Valle del Cauca,independiente,1521300,nivel_1,referido,48,6,21,324700,15462,10600,0,6,app_qr,19060,300400,5,25.3,iOS,0,,1,538,0,62000
3000008,40,M,Lima,Lima,empleado,1712300,nivel_3,organico,1,1,12,308400,25700,17650,0,6,app_qr,251700,357200,4,38.3,Android,1,4.3,0,,0,870700
3000009,34,F,Bogota,Bogota DC,estudiante,855100,nivel_3,organico,39,27,44,856600,19468,15100,0,10,app_qr,33300,326700,12,77,Android,0,,0,,0,185600
3000010,24,M,Cali,Valle del Cauca,empleado,856700,nivel_2,organico,35,11,6,130500,21750,20000,0,2,pse,7273,352400,1,26.7,iOS,1,3.9,1,515,0,18100
3000011,23,F,Bogota,Bogota DC,estudiante,683800,nivel_2,ads_google,16,193,5,61500,12300,9400,0,1,app_qr,1487,221900,0,,Android,0,,0,,1,9200
3000012,36,M,Barranquilla,Atlantico,independiente,597700,nivel_1,ads_meta,21,91,4,70600,17650,19500,0,2,app_qr,4707,165800,2,18.3,iOS,0,,1,475,1,22700
3000013,51,F,Bogota,Bogota DC,independiente,2736200,nivel_3,organico,12,9,17,440100,25888,20700,0.118,8,app_qr,32267,1354900,2,64.6,Android,1,4.8,0,,0,199800
3000014,20,M,Lima,Lima,independiente,1048200,nivel_2,influencer,6,8,36,814800,22633,18800,0,8,app_qr,92967,412400,8,38.5,Android,0,,1,521,0,204700
3000015,35,M,Bogota,Bogota DC,empleado,1072800,nivel_2,referido,19,67,17,197500,11618,10900,0,6,app_qr,6807,534200,2,76,iOS,0,,1,448,0,6800
