campana_id,cliente_id,fecha_envio,canal,tipo_oferta,costo,convertido
600001,3000002,2025-02-26,sms,cashback,700,0
600002,3000003,2025-02-22,email,generico,3600,0
600003,3000004,2025-07-05,sms,descuento,2500,0
600004,3000004,2026-02-20,email,cashback,3600,0
600005,3000005,2025-10-07,email,generico,2900,0
600006,3000005,2025-07-16,sms,descuento,2000,0
600007,3000006,2025-02-03,push,descuento,700,0
600008,3000006,2025-08-25,push,descuento,2900,0
600009,3000008,2025-11-18,push,cashback,1600,0
600010,3000009,2025-10-18,push,generico,2900,0
600011,3000010,2025-04-18,email,descuento,3800,0
600012,3000010,2025-12-23,push,upgrade_credito,2400,0
600013,3000010,2025-11-14,email,generico,3700,0
600014,3000011,2026-01-16,email,upgrade_credito,3600,0
600015,3000011,2025-11-10,push,cashback,1800,0
600016,3000012,2025-04-17,push,generico,800,0
600017,3000013,2026-01-21,push,descuento,1700,0
600018,3000015,2025-05-21,push,generico,2500,0
600019,3000016,2025-12-22,sms,descuento,4000,0
600020,3000017,2025-12-29,push,generico,2800,0
600021,3000018,2025-12-18,email,descuento,2200,0
600022,3000020,2025-05-19,push,cashback,2400,1
600023,3000020,2025-07-23,sms,upgrade_credito,1800,0
600024,3000021,2025-10-25,sms,descuento,3000,0
600025,3000021,2026-01-06,push,descuento,2100,0
600026,3000022,2025-02-20,sms,generico,2800,0
600027,3000022,2025-04-16,push,generico,1800,0
600028,3000023,2026-01-24,push,cashback,2700,0
600029,3000023,2025-08-02,push,cashback,1100,1
600030,3000023,2025-04-28,email,descuento,1700,0
600031,3000025,2026-02-19,push,generico,1600,0
600032,3000026,2025-03-14,push,cashback,3700,1
600033,3000027,2025-06-23,email,descuento,3700,0
600034,3000027,2025-06-11,push,descuento,3200,0
600035,3000028,2025-04-11,push,cashback,3700,0
600036,3000028,2025-03-06,push,upgrade_credito,2100,0
600037,3000028,2025-02-26,push,cashback,3600,0
600038,3000029,2025-11-05,email,descuento,500,0
600039,3000029,2025-03-04,push,upgrade_credito,3100,1
600040,3000029,2025-11-26,push,cashback,2900,0
600041,3000030,2025-01-03,push,descuento,1600,0
600042,3000030,2025-09-24,email,cashback,2800,0
600043,3000031,2025-11-04,email,cashback,2200,0
600044,3000031,2025-09-03,email,cashback,3400,0
600045,3000032,2025-07-31,sms,generico,2300,1
600046,3000032,2025-04-22,push,cashback,3000,0
600047,3000032,2025-07-20,push,cashback,2100,0
600048,3000033,2025-04-06,email,cashback,1800,0
600049,3000033,2025-09-16,sms,generico,3200,0
600050,3000033,2025-01-22,email,descuento,1600,0
600051,3000033,2025-10-31,sms,cashback,1000,0
600052,3000035,2025-04-13,push,descuento,3800,0
600053,3000035,2026-01-09,push,generico,3200,0
600054,3000035,2025-07-27,push,descuento,2900,0
600055,3000035,2025-09-05,email,cashback,900,0
600056,3000036,2026-02-19,push,descuento,2200,0
600057,3000038,2026-02-23,push,descuento,2500,0
600058,3000038,2025-08-06,sms,cashback,500,0
600059,3000038,2026-02-18,push,generico,3200,0
600060,3000039,2026-02-20,email,generico,2200,0
600061,3000039,2025-05-07,sms,generico,3000,0
600062,3000039,2025-03-29,push,cashback,1300,1
600063,3000041,2025-05-28,email,cashback,1300,0
600064,3000041,2026-02-14,email,generico,900,0
600065,3000042,2025-06-01,email,cashback,2400,0
600066,3000042,2025-12-29,push,generico,800,0
600067,3000043,2025-10-06,email,generico,600,0
600068,3000043,2026-02-27,push,generico,3200,0
600069,3000044,2025-12-14,push,descuento,3200,0
600070,3000044,2026-02-10,push,descuento,2900,0
600071,3000044,2025-11-06,email,descuento,3500,0
600072,3000045,2025-03-05,email,cashback,1800,0
600073,3000045,2025-04-01,push,generico,1200,0
600074,3000046,2025-09-02,push,cashback,3700,0
600075,3000046,2025-01-12,email,descuento,2700,0
600076,3000048,2025-01-20,sms,cashback,1200,1
600077,3000050,2025-08-19,push,generico,2000,0
600078,3000051,2025-04-30,push,descuento,1100,0
600079,3000051,2025-03-09,push,cashback,2400,0
600080,3000052,2025-05-14,push,generico,2700,0
600081,3000052,2026-02-16,push,descuento,1200,0
600082,3000053,2025-04-20,sms,generico,3300,0
600083,3000053,2025-07-07,email,cashback,2700,0
600084,3000054,2025-09-01,push,cashback,3500,0
600085,3000055,2025-12-18,push,cashback,2500,0
600086,3000056,2025-01-11,sms,upgrade_credito,3600,0
600087,3000056,2026-01-27,sms,upgrade_credito,2000,0
600088,3000057,2025-01-06,sms,upgrade_credito,1300,0
600089,3000057,2025-06-22,push,cashback,3800,0
600090,3000058,2025-02-25,email,cashback,500,0
600091,3000059,2025-04-15,email,upgrade_credito,1700,0
600092,3000059,2025-03-04,email,generico,1500,0
600093,3000060,2025-08-07,push,generico,1600,0
600094,3000060,2025-02-05,email,descuento,1100,0
600095,3000061,2025-11-08,push,generico,2000,0
600096,3000062,2025-08-25,push,upgrade_credito,1900,1
600097,3000062,2025-01-30,sms,descuento,3000,0
600098,3000062,2025-02-26,push,descuento,900,0
600099,3000062,2025-01-25,push,generico,3500,0
600100,3000063,2025-06-12,push,cashback,3000,0
600101,3000063,2025-10-12,push,generico,1500,0
600102,3000063,2025-06-30,sms,upgrade_credito,3500,0
600103,3000065,2025-01-01,push,generico,1000,0
600104,3000066,2025-02-15,push,generico,3800,0
600105,3000066,2025-11-21,push,generico,2100,0
600106,3000067,2026-03-03,email,cashback,3700,1
600107,3000067,2025-03-30,push,cashback,1500,1
600108,3000069,2025-03-20,email,generico,2700,0
600109,3000069,2025-12-03,push,upgrade_credito,1200,0
600110,3000070,2025-12-14,email,descuento,700,0
600111,3000070,2025-02-07,push,cashback,600,0
600112,3000070,2026-02-03,push,upgrade_credito,3500,0
600113,3000071,2026-01-27,email,generico,800,0
600114,3000071,2025-02-02,sms,descuento,3400,0
600115,3000071,2025-07-22,sms,cashback,2100,0
600116,3000072,2025-04-03,push,upgrade_credito,3700,0
600117,3000073,2025-01-31,push,descuento,3400,0
600118,3000073,2025-09-01,push,cashback,1200,0
600119,3000073,2025-04-30,sms,cashback,3200,0
600120,3000073,2025-07-26,email,cashback,900,0
600121,3000074,2025-04-28,push,generico,1700,0
600122,3000075,2025-10-05,sms,descuento,3100,1
600123,3000075,2025-09-26,sms,descuento,1300,0
600124,3000075,2025-07-18,push,cashback,1300,0
600125,3000077,2025-10-11,sms,cashback,2400,0
600126,3000077,2025-08-01,push,upgrade_credito,1600,0
600127,3000078,2026-03-13,email,cashback,2200,0
600128,3000080,2025-05-08,email,descuento,1400,0
600129,3000080,2025-01-10,email,cashback,1100,0
600130,3000080,2025-06-14,push,descuento,3300,0
600131,3000081,2025-11-03,sms,generico,1100,0
600132,3000081,2025-09-10,sms,generico,1600,0
600133,3000083,2025-10-12,email,descuento,600,0
600134,3000084,2025-04-29,email,generico,3100,0
600135,3000084,2025-04-27,push,descuento,1400,0
600136,3000085,2025-11-28,email,descuento,2300,0
600137,3000085,2025-06-12,email,descuento,2600,0
600138,3000086,2025-06-20,push,generico,3500,0
600139,3000087,2026-02-28,push,upgrade_credito,3500,0
600140,3000087,2025-06-06,push,cashback,3000,0
600141,3000087,2025-09-06,email,upgrade_credito,2200,0
600142,3000089,2025-12-02,email,descuento,700,0
600143,3000089,2026-01-21,sms,cashback,1000,0
600144,3000090,2025-12-29,sms,cashback,500,0
600145,3000091,2026-03-01,email,generico,3200,0
600146,3000091,2025-06-25,email,cashback,2500,0
600147,3000092,2025-02-06,push,descuento,2200,1
600148,3000092,2025-06-28,push,generico,700,0
600149,3000093,2025-02-05,sms,generico,2700,0
600150,3000093,2025-09-18,sms,cashback,1900,0
600151,3000093,2026-02-28,email,descuento,2100,0
600152,3000093,2025-06-30,push,descuento,1500,0
600153,3000093,2025-01-12,push,cashback,3600,0
600154,3000093,2025-11-29,sms,descuento,1700,0
600155,3000094,2025-07-30,push,generico,2800,0
600156,3000094,2026-01-19,push,generico,800,0
600157,3000096,2025-01-27,sms,cashback,2100,0
600158,3000096,2025-08-13,push,cashback,3500,0
600159,3000096,2025-02-08,push,cashback,4000,0
600160,3000096,2025-07-29,email,cashback,800,0
600161,3000096,2025-01-20,email,cashback,3800,0
600162,3000096,2025-12-24,email,cashback,2700,0
600163,3000097,2025-12-30,push,generico,3100,0
600164,3000097,2025-11-02,push,generico,3500,0
600165,3000099,2026-03-05,sms,generico,3600,0
600166,3000100,2025-08-05,push,generico,3300,0
600167,3000100,2026-01-06,sms,cashback,2000,0
600168,3000100,2025-05-20,sms,descuento,1200,0
600169,3000101,2026-03-01,email,descuento,1900,0
600170,3000101,2026-02-28,push,descuento,1400,0
600171,3000101,2025-01-26,email,upgrade_credito,1100,0
600172,3000101,2025-12-14,email,descuento,1600,0
600173,3000101,2026-03-07,email,descuento,1600,0
