credito_id,cliente_id,fecha_solicitud,monto_aprobado,plazo_meses,tasa,score_buro,destino,default_90d,dias_mora,monto_recuperado
900001,3000007,2025-10-08,3342000,3,0.0418,538,negocio,0,0,0
900002,3000007,2025-03-29,3589000,6,0.0474,506,consumo,0,0,0
900003,3000010,2025-09-10,2954000,12,0.0451,515,otros,0,0,0
900004,3000012,2025-08-06,1345000,12,0.0433,475,educacion,1,160,393000
900005,3000012,2025-06-02,763000,6,0.0411,451,negocio,0,0,0
900006,3000012,2025-04-17,1039000,12,0.0485,479,negocio,0,0,0
900007,3000014,2026-01-14,604000,24,0.0459,521,educacion,0,0,0
900008,3000015,2026-02-15,954000,12,0.0452,448,consumo,1,141,539000
900009,3000017,2025-03-28,10305000,24,0.0418,649,negocio,1,143,3919000
900010,3000017,2025-08-14,1639000,18,0.0506,587,negocio,0,0,0
900011,3000018,2025-10-24,1601000,3,0.0363,519,consumo,0,0,0
900012,3000023,2026-02-06,2116000,6,0.0413,495,consumo,0,0,0
900013,3000023,2026-01-26,3624000,24,0.055,512,consumo,1,133,2088000
900014,3000025,2025-09-06,2112000,12,0.0389,582,salud,1,154,1041000
900015,3000025,2025-01-24,937000,6,0.0354,529,consumo,0,0,0
900016,3000029,2025-08-20,3742000,36,0.0545,544,consumo,0,0,0
900017,3000041,2025-06-16,274000,18,0.0513,413,consumo,0,0,0
900018,3000042,2025-11-05,20113000,12,0.0354,675,otros,0,0,0
900019,3000042,2025-11-18,20735000,18,0.0463,566,negocio,1,159,9542000
900020,3000048,2026-02-12,5694000,6,0.0321,587,negocio,0,0,0
900021,3000050,2025-06-16,3139000,12,0.04,617,educacion,0,0,0
900022,3000052,2025-01-28,1558000,12,0.041,506,negocio,0,0,0
900023,3000052,2025-03-03,558000,6,0.0418,429,consumo,0,0,0
900024,3000052,2025-12-23,928000,12,0.0511,477,negocio,0,0,0
900025,3000054,2025-11-19,318000,12,0.0478,442,consumo,1,136,162000
900026,3000054,2025-10-20,1480000,3,0.0358,491,negocio,0,0,0
900027,3000058,2025-03-17,13774000,12,0.0526,573,negocio,0,0,0
900028,3000062,2025-09-11,2195000,3,0.037,524,consumo,0,0,0
900029,3000064,2025-10-18,4081000,12,0.042,537,consumo,0,0,0
900030,3000064,2025-11-15,3296000,24,0.0479,576,consumo,0,0,0
900031,3000065,2026-02-13,1354000,24,0.055,343,consumo,1,145,773000
900032,3000065,2025-01-03,1491000,12,0.0456,410,negocio,1,161,434000
900033,3000073,2025-12-30,1590000,12,0.0413,619,educacion,0,0,0
900034,3000077,2025-08-19,10732000,6,0.0329,681,consumo,0,0,0
900035,3000077,2025-04-29,11650000,36,0.0463,748,consumo,0,0,0
900036,3000078,2025-05-23,2626000,6,0.0338,511,consumo,0,0,0
900037,3000082,2026-01-01,6014000,6,0.0411,551,consumo,0,0,0
900038,3000085,2025-01-08,4725000,12,0.0433,550,consumo,0,0,0
900039,3000086,2025-01-05,2e+06,36,0.055,540,negocio,0,0,0
900040,3000090,2026-01-07,37792000,12,0.0442,645,salud,0,0,0
900041,3000090,2025-09-17,26049000,12,0.0363,743,consumo,0,0,0
900042,3000091,2025-11-15,981000,6,0.0383,449,negocio,0,0,0
