sede,mes,producto,categoria,precio,unidades,observaciones
Norte,Ene,Tornillo,Ferreteria,250,120,revisar
Norte,Ene,Guantes,Seguridad,12000,18,NA
Norte,Ene,Martillo,Herramienta,38000,5,NA
Norte,Ene,Taladro,Herramienta,$450000,2,NA
norte,Feb,Tornillo,Ferreteria,250,135,NA
norte,Feb,Guantes,Seguridad,12500,14,NA
norte,Feb,Martillo,Herramienta,38000,4,NA
norte,Feb,taladro,Herramienta,450000,1,NA
NORTE,Mar,Tornillo,Ferreteria,260,110,NA
NORTE,Mar,Guantes,Seguridad,12000,NA,NA
NORTE,Mar,Martillo,Herramienta,39000,6,NA
NORTE,Mar,Taladro,Herramienta,455000,2,NA
Norte,Abr,Tornillo,Ferreteria,250,128,NA
Norte,Abr,Guantes,Seguridad,11800,16,NA
Norte,Abr,Martillo,Herramienta,37500,5,NA
Norte,Abr,Taladro,Herramienta,449000,3,NA
Sur,Ene,Tornillo,Ferreteria,250,95,NA
Sur,Ene,Guantes,Seguridad,12000,12,NA
Sur,Ene,Martillo,Herramienta,38000,3,NA
Sur,Ene,Taladro,Herramienta,450000,1,NA
Sur,Feb,Tornillo,Ferreteria,255,102,NA
Sur,Feb,Guantes,Seguridad,12000,11,NA
Sur,Feb,Martillo,Herramienta,$38000,4,NA
Sur,Feb,Taladro,Herramienta,452000,2,NA
SUR,Mar,Tornillo,Ferreteria,250000,88,precio raro
SUR,Mar,Guantes,Seguridad,12500,13,NA
SUR,Mar,Martillo,Herramienta,38000,3,NA
SUR,Mar,Taladro,Herramienta,450000,1,NA
Sur,Abr,Tornillo,Ferreteria,250,NA,NA
Sur,Abr,Guantes,Seguridad,12000,15,NA
Sur,Abr,Martillo,Herramienta,38500,4,NA
Sur,Abr,Taladro,Herramienta,451000,2,NA
Centro,Ene,Tornillo,Ferreteria,250,140,NA
Centro,Ene,Guantes,Seguridad,12000,20,NA
Centro,Ene,Martillo,Herramienta,38000,6,NA
Centro,Ene,Taladro,Herramienta,450000,3,NA
Centro,Feb,Tornillo,Ferreteria,250,132,NA
Centro,Feb,Guantes,Seguridad,NA,17,NA
Centro,Feb,Martillo,Herramienta,38000,5,NA
Centro,Feb,Taladro,Herramienta,450000,2,NA
Centro,Mar,Tornillo,Ferreteria,260,125,NA
Centro,Mar,Guantes,Seguridad,12000,19,NA
Centro,Mar,Martillo,Herramienta,39000,7,NA
Centro,Mar,TALADRO,Herramienta,455000,2,NA
Centro,Abr,Tornillo,Ferreteria,250,138,NA
Centro,Abr,Guantes,Seguridad,12200,18,NA
Centro,Abr,Martillo,Herramienta,38000,-4,devolucion
Centro,Abr,Taladro,Herramienta,450000,3,NA
Palmira,Ene,Tornillo,Ferreteria,250,70,NA
Palmira,Ene,Guantes,Seguridad,12000,8,NA
Palmira,Ene,Martillo,Herramienta,38000,2,NA
Palmira,Ene,Taladro,Herramienta,450000,1,NA
Palmira,Feb,Tornillo,Ferreteria,250,75,NA
Palmira,Feb,Guantes,Seguridad,12500,9,NA
Palmira,Feb,Martillo,Herramienta,38000,3,NA
Palmira,Feb,Taladro,Herramienta,450000,1,NA
Palmira,Mar,Tornillo,Ferreteria,255,68,NA
Palmira,Mar,Guantes,Seguridad,12000,7,NA
Palmira,Mar,Martillo,Herramienta,NA,2,NA
Palmira,Mar,Taladro,Herramienta,452000,1,NA
Palmira,Abr,Tornillo,Ferreteria,250,72,NA
Palmira,Abr,Guantes,Seguridad,12000,10,NA
Palmira,Abr,Martillo,Herramienta,38000,3,NA
Palmira,Abr,Taladro,Herramienta,$455000,2,NA
Norte,Ene,Tornillo,Ferreteria,250,120,revisar
Norte,Ene,Guantes,Seguridad,12000,18,NA
Centro,Mar,Tornillo,Ferreteria,260,125,NA
