"antiguedad_meses","factura_mensual","reclamos_6m","minutos_soporte","plan_premium","fuga"
17,79.4,1,7,1,"No"
34,59,0,20,1,"No"
17,66.7,1,24,0,"No"
9,75.3,0,31,0,"No"
44,65.5,1,9,0,"No"
47,48,0,20,0,"No"
14,108.5,2,22,1,"Si"
68,63.3,0,13,0,"No"
14,84.7,0,31,1,"No"
14,47.2,1,0,0,"No"
16,43.8,4,32,0,"Si"
19,62.4,0,16,0,"No"
64,101.5,2,15,0,"No"
1,88.5,1,0,0,"No"
11,88.2,1,21,0,"Si"
16,70.4,1,20,0,"No"
34,78.1,0,6,0,"No"
8,88.2,0,29,0,"Si"
20,80,3,17,0,"Si"
13,106.4,1,16,1,"No"
22,91.8,1,24,0,"Si"
24,111.7,0,52,0,"Si"
39,77.2,0,19,1,"No"
1,122.9,3,36,0,"Si"
41,64.8,2,24,0,"No"
9,79.9,0,24,0,"No"
3,92.1,0,9,1,"Si"
46,74.3,1,17,0,"No"
29,40.1,1,12,1,"No"
51,34.5,0,11,1,"No"
9,66.2,1,55,0,"Si"
23,85.7,0,4,1,"No"
15,88.9,2,0,0,"Si"
36,64.1,1,11,0,"No"
20,68.4,2,8,0,"Si"
45,58.9,1,32,0,"No"
42,64.9,0,2,0,"No"
14,95.8,1,44,0,"Si"
49,89.6,0,10,1,"No"
25,86.5,0,7,1,"No"
41,66.3,0,9,1,"No"
33,61.3,0,9,1,"No"
46,101.8,1,8,0,"No"
36,80.9,1,14,0,"No"
42,74.3,1,11,0,"No"
21,77,0,36,0,"No"
23,50,1,22,0,"No"
50,82.6,0,17,0,"No"
23,87.6,2,17,0,"Si"
56,129.3,0,8,0,"No"
29,60.4,0,18,0,"No"
51,71.2,0,13,1,"No"
12,68.3,2,31,1,"Si"
29,66.9,0,6,0,"No"
25,73.2,0,6,0,"No"
16,54.1,2,23,0,"Si"
34,68.3,0,24,0,"No"
19,102.7,2,23,0,"Si"
40,54.3,0,1,0,"No"
41,75.9,0,12,1,"No"
3,79.3,0,19,0,"Si"
12,108.8,1,28,0,"Si"
34,118.9,2,22,0,"No"
43,71.9,1,25,0,"No"
57,79.8,1,28,1,"No"
33,32,0,10,0,"No"
26,45.9,0,10,0,"No"
9,106.9,3,18,1,"Si"
55,94.5,0,12,1,"No"
46,52.7,0,32,1,"No"
30,83.7,1,20,0,"No"
8,88.5,1,6,1,"No"
18,124.3,1,13,0,"Si"
49,78.2,1,14,1,"No"
27,53.6,0,14,0,"No"
45,62.3,0,29,1,"No"
16,30,0,31,1,"No"
72,84.4,1,13,0,"No"
15,83.7,1,0,1,"Si"
59,61.4,0,13,0,"No"
6,52.6,1,58,0,"Si"
1,53.6,1,20,1,"No"
41,62.9,1,11,1,"No"
26,43,0,34,0,"No"
30,73.3,2,16,1,"No"
33,82.5,0,27,1,"No"
34,70.5,1,21,1,"No"
31,77.8,0,28,0,"No"
6,97.1,0,28,0,"No"
10,52.1,0,8,1,"No"
33,31.9,2,25,0,"No"
29,91.2,3,22,1,"Si"
44,99.7,0,18,0,"No"
4,78.6,1,42,0,"Si"
5,66.4,2,20,1,"No"
9,101,1,47,0,"Si"
38,115.5,1,2,1,"No"
23,49.9,5,30,1,"Si"
38,79.4,1,10,0,"No"
25,30,0,14,1,"No"
43,40.2,2,2,1,"Si"
39,30.2,0,12,1,"No"
22,68.8,1,14,0,"No"
55,58.8,0,35,1,"No"
38,82.8,1,19,1,"No"
21,77.4,0,22,0,"No"
30,103.7,1,11,0,"No"
16,75.9,2,24,0,"No"
27,66.8,1,30,0,"Si"
41,82.4,1,29,1,"No"
36,136.1,2,31,0,"Si"
11,95.1,2,45,0,"Si"
4,77.2,1,25,0,"Si"
27,32,1,26,0,"No"
14,68,1,33,1,"Si"
63,84.4,0,27,0,"No"
29,53.5,0,16,0,"No"
18,81.8,1,0,1,"No"
2,82.9,0,33,0,"Si"
30,94.1,0,17,0,"No"
16,56.8,0,22,0,"No"
18,98,3,22,0,"Si"
48,109.4,1,31,1,"No"
43,55.8,0,11,0,"No"
49,86.2,0,23,0,"No"
23,83.6,0,19,1,"No"
7,72.1,1,20,0,"No"
22,73,3,0,1,"No"
22,82.7,1,33,0,"Si"
21,72.7,1,7,0,"No"
12,74.7,3,24,0,"Si"
15,84.8,1,9,0,"Si"
35,51.5,0,18,1,"No"
53,84.2,1,26,1,"No"
15,89.6,3,38,0,"Si"
37,74.9,0,13,1,"No"
21,81.2,2,32,0,"Si"
14,90.2,2,24,0,"No"
11,50.8,0,43,1,"Si"
36,73.8,0,12,0,"No"
21,49.6,2,32,0,"Si"
28,95.8,0,26,0,"No"
31,90.5,0,37,0,"Si"
39,102.9,0,23,0,"No"
