"area_m2","habitaciones","banos","estrato","piso","distancia_centro_km","antiguedad_anos","precio_millones"
90,3,2,5,15,1.8,15,410
93,2,2,3,10,6.2,32,329
61,2,1,6,2,11.6,4,342
65,2,1,2,2,4.1,13,228
63,1,1,6,3,10.9,40,340
121,3,2,4,15,12.6,5,433
87,3,2,2,8,12.9,35,224
82,2,2,3,3,1.6,0,357
56,2,2,4,4,3.8,9,252
97,3,2,6,5,3,34,496
38,1,1,5,12,10.5,26,209
74,2,1,3,10,6.2,15,281
78,2,2,5,10,4.7,22,426
89,3,2,3,9,14.4,35,258
70,1,1,4,7,3,2,257
69,1,1,4,3,6.3,6,330
105,3,2,5,4,3.5,5,498
68,2,2,3,1,7.5,25,228
73,2,2,4,2,1.5,27,370
93,3,2,2,8,11.7,1,346
74,2,2,2,2,13.3,5,204
46,1,1,4,10,12.9,17,199
97,4,3,3,4,10.8,23,419
110,3,3,6,9,5.3,33,475
96,3,2,3,9,9.6,17,361
42,2,1,5,11,13.6,11,147
101,3,3,3,9,11.2,29,340
58,1,1,6,10,9.6,30,340
75,1,1,3,15,1,40,294
69,2,1,6,10,9.5,29,393
73,3,2,6,14,4.3,28,366
43,1,2,2,4,10.8,25,198
52,2,2,2,9,14.6,38,123
61,2,1,3,11,10.7,13,241
85,2,1,2,3,3.7,0,331
52,2,1,3,4,2.2,13,234
80,3,2,5,14,10.8,8,324
106,2,2,4,8,13.7,36,427
61,2,2,4,6,8.7,26,302
124,3,2,5,4,8.3,39,439
84,2,2,2,7,7.4,36,266
117,3,2,2,10,14.7,25,352
75,2,2,3,5,3.3,32,297
57,2,2,6,7,5.4,1,374
80,2,1,4,3,9.9,26,282
100,3,2,5,10,12.1,2,447
63,1,1,2,9,6.8,29,162
116,4,3,4,15,13.2,14,455
38,1,1,2,6,6.4,32,115
93,2,2,4,13,6.4,20,349
69,2,1,5,12,5.5,7,367
82,3,2,3,7,6.6,32,252
100,3,2,5,3,9.1,19,377
60,2,1,5,2,6.6,17,302
76,3,3,2,10,2.6,37,269
52,2,1,5,1,7.9,12,258
53,3,2,2,12,13.9,29,139
79,2,1,4,1,6.8,18,276
51,1,1,5,9,11.9,0,296
118,3,2,5,14,10.1,16,427
75,1,1,5,2,5,23,354
113,3,2,4,5,11.9,12,414
91,2,2,4,12,1.7,13,396
132,4,3,4,11,3.7,30,506
107,3,2,5,8,14.7,32,405
74,3,2,6,9,2.8,5,405
32,1,1,2,12,1.6,31,112
39,1,1,3,14,14,24,88
102,3,1,3,15,11.4,26,332
81,3,1,6,9,4.4,6,470
91,2,1,6,6,8.1,10,495
67,2,1,3,10,12.5,17,237
88,3,2,4,4,12.2,32,317
64,3,2,2,9,6.5,20,155
78,3,2,4,13,9.4,34,333
67,1,1,3,13,7.2,35,271
87,3,2,4,1,5.9,40,329
32,1,1,2,13,11.7,27,94
137,4,2,3,14,13.9,20,462
32,1,1,5,4,5.4,14,236
64,2,2,5,3,13.1,38,284
88,1,1,2,13,9.9,27,262
79,2,1,3,1,5.3,33,289
64,3,3,3,2,7.6,21,269
46,2,1,3,6,4.5,20,161
105,3,3,5,13,10,31,410
107,2,1,3,7,12.8,7,323
72,2,3,4,4,11.9,36,288
115,3,2,2,3,6.8,27,324
53,1,2,6,9,6.2,35,402
105,3,2,3,12,2.8,6,503
83,2,1,4,14,8.4,11,332
40,2,1,4,15,3.4,21,261
102,3,2,5,3,3.9,0,445
76,1,1,3,6,13.5,38,200
46,1,1,5,7,4.8,13,256
49,2,3,3,9,6.5,22,178
66,2,2,3,6,6.9,6,311
116,4,3,3,2,5.5,12,455
66,2,2,4,8,10.4,39,244
99,3,3,2,3,14.6,27,401
87,2,2,4,15,4.7,24,362
80,2,1,4,4,2.4,14,312
77,2,1,4,15,1.1,2,425
38,1,1,3,13,13.1,36,154
67,2,2,5,14,9.6,23,305
132,4,3,4,1,12.3,16,494
123,3,1,5,6,2.8,20,472
115,3,2,3,15,1.9,27,407
98,3,2,3,7,3,9,411
32,1,1,3,13,14.9,17,87
72,2,2,3,6,14.9,11,294
84,3,2,6,4,14.7,24,400
107,3,1,4,14,8.1,2,423
60,1,1,6,10,3.1,18,369
68,1,1,3,2,5.4,18,229
83,3,3,2,14,3.8,25,356
51,1,1,2,12,11.5,21,199
47,1,1,4,14,7.6,1,234
79,3,2,6,1,8.9,21,420
111,3,2,4,11,9.5,6,392
55,2,1,2,3,5.4,22,154
60,1,1,3,7,4.2,24,251
89,3,2,6,12,10.2,22,479
74,3,3,3,10,3.6,28,290
32,1,1,3,2,9.4,4,136
79,3,3,3,11,9.6,29,324
62,2,2,4,3,7.6,22,261
