"cancion","artista","genero","danceability","energy","acousticness","tempo","streams"
"Calle VIP","Ozuna","reggaeton",0.821,0.549,0.049,102.8,4322221
"Marea de Cristal","Anuel AA","urbano acustico",0.545,0.546,0.222,77.6,2134587
"Café y Vinilo","Anuel AA","reggaeton",0.401,0.146,0.717,89.9,1227066
"Eclipse Callado","Rauw Alejandro","trap latino",0.58,0.493,0.262,75.4,2199158
"Luna Eterno","Daddy Yankee","reggaeton",0.775,0.833,0.189,100.3,4180421
"Luna VIP","J Balvin","reggaeton",0.842,0.905,0.034,92.8,5680595
"Calle sin Reloj","Bad Bunny","reggaeton",0.737,0.905,0.183,87.7,3025053
"Calle Clandestino","Natti Natasha","reggaeton",0.809,0.81,0.07,85.9,1760146
"Modo Fiesta","Feid","dembow",0.853,0.825,0.028,125.7,11672712
"Luna VIP","Rauw Alejandro","urbano acustico",0.871,0.759,0.15,91.3,5601010
"Turbo en el Malecón","Maluma","reggaeton",0.864,0.882,0.068,133.4,917575
"Candela Fiesta","Daddy Yankee","dembow",0.897,0.802,0.046,134.7,647406
"Frío Nocturno","Wisin & Yandel","trap latino",0.563,0.642,0.027,77.3,6531264
"Marea Gris","Ozuna","trap latino",0.713,0.607,0.337,85.7,3848242
"Fiesta Eterno","Anuel AA","reggaeton",0.848,0.81,0.087,95.5,3125961
"Calle sin Reloj","J Balvin","reggaeton",0.734,0.759,0.08,95.3,1217288
"Dembow hasta Abajo","Wisin & Yandel","dembow",0.803,0.862,0.035,119.7,2933789
"Brisa Descalzo","Ozuna","urbano acustico",0.332,0.183,0.754,85.4,1526024
"Noche en la Terraza","Sech","reggaeton",0.814,0.785,0.041,93.9,3340573
"Cicatriz Callado","J Balvin","trap latino",0.476,0.596,0.207,79.6,3987178
"Presión hasta Abajo","J Balvin","dembow",0.853,0.865,0.024,129.6,4196490
"Balcón de Mar","Karol G","reggaeton",0.381,0.229,0.776,93.8,13215732
"Marea Nocturno (En Vivo)","Ryan Castro","dembow",0.546,0.479,0.184,78.2,11113562
"Marea de Invierno","Nicky Jam","trap latino",0.587,0.74,0.307,76.9,1970173
"Noche Caliente","Natti Natasha","reggaeton",0.82,0.736,0.112,97.3,1119896
"Alto Voltaje Nivel Dios","Feid","dembow",0.908,0.861,0.069,128.8,1751170
"Pique sin Frenos","Natti Natasha","dembow",0.936,0.839,0.073,132.4,1495421
"Vibra Eterno","Maluma","trap latino",0.846,0.895,0.077,105.7,3747163
"Vibra sin Reloj","J Balvin","reggaeton",0.804,0.924,0.098,104.3,13539843
"Ritmo Clandestino","Karol G","reggaeton",0.772,0.919,0.01,92.5,7337593
"Alto Voltaje Total","Tego Calderón","dembow",0.874,0.906,0.092,136.4,3410696
"Ritmo Clandestino","Myke Towers","reggaeton",0.855,0.749,0.167,89.9,1672964
"Fiesta Clandestino","Ryan Castro","reggaeton",0.828,0.905,0.01,92.8,13944921
"Vibra en la Terraza","Ozuna","reggaeton",0.856,0.915,0.045,82.1,3615842
"Sudor Prohibido","Bad Bunny","reggaeton",0.883,0.683,0.118,101,7768577
"Marea Lento","Becky G","trap latino",0.569,0.458,0.183,69.4,2329865
"Alto Voltaje en el Malecón","Myke Towers","dembow",0.93,0.947,0.07,131.3,585760
"Candela Extremo","Rauw Alejandro","dembow",0.931,0.901,0.076,132.7,3408599
"Brisa Vieja","J Balvin","urbano acustico",0.572,0.426,0.774,90,9668899
"Candela 24/7","Nicky Jam","dembow",0.837,0.893,0.057,130.9,3190286
"Tarde en Casa","J Balvin","urbano acustico",0.544,0.337,0.754,93.8,7570019
"Zumba 24/7","Becky G","dembow",0.893,0.837,0.022,123.5,4039786
"Frío de Invierno","Becky G","trap latino",0.665,0.532,0.323,82.7,1172943
"Dembow de Verano","Rauw Alejandro","dembow",0.889,0.853,0.045,130.1,3343055
"Medianoche sin Ti","Anuel AA","trap latino",0.656,0.401,0.016,79.8,2926941
"Guitarra Vieja","Karol G","urbano acustico",0.425,0.345,0.704,95.1,1557958
"Modo hasta Abajo","Rauw Alejandro","dembow",0.86,0.868,0.046,119.2,10747503
"Guitarra y Vinilo","Ozuna","urbano acustico",0.408,0.101,0.783,85.2,2052619
"Baila de Cali","Bad Bunny","reggaeton",0.771,0.712,0.01,106.2,3479612
"Acústico del Pacífico","Anuel AA","urbano acustico",0.485,0.246,0.639,73.6,3927239
"Descontrol sin Frenos","Rauw Alejandro","dembow",0.897,0.849,0.025,126.5,3103952
"Insomnio Nocturno","Natti Natasha","urbano acustico",0.484,0.458,0.062,77.9,1914900
"Noche Clandestino","Rauw Alejandro","reggaeton",0.801,0.849,0.085,98.5,2446475
"Humo en el Alma","Becky G","trap latino",0.563,0.528,0.146,81.6,1413764
"Pique Fiesta","J Balvin","dembow",0.838,0.886,0.04,132.4,2550255
"Deja Vu Callado","Natti Natasha","trap latino",0.607,0.459,0.142,71.8,6987309
"Guitarra Descalzo","Ozuna","reggaeton",0.479,0.317,0.75,84,5746953
"Fuego en la 66","J Balvin","reggaeton",0.738,0.873,0.078,98.7,1723255
"Fuego de Cali","Farruko","reggaeton",0.771,0.755,0.038,94.3,3646548
"Ritmo Caliente","Myke Towers","reggaeton",0.804,0.779,0.028,100.3,6686252
"Zumba 24/7 (Remix)","Sech","dembow",0.9,0.877,0.047,128.2,1345301
"Domingo de Abril","Tego Calderón","urbano acustico",0.535,0.236,0.597,84,1988416
"Insomnio sin Ti","Myke Towers","trap latino",0.593,0.439,0.167,81.6,3507349
"Medianoche Interior","Bad Bunny","trap latino",0.778,0.511,0.267,68,492219
"Zumba 24/7","Sech","dembow",0.916,0.964,0.088,121.4,4481668
"Guitarra a Mano (Remix)","Feid","urbano acustico",0.22,0.225,0.857,88.6,1826908
"Calle en la 66","Tego Calderón","reggaeton",0.903,0.814,0.083,100,2688670
"Fuego Eterno","Natti Natasha","trap latino",0.888,0.829,0.118,84.1,1310738
"Turbo Total","Tego Calderón","dembow",0.879,0.873,0.038,142.8,1392250
"Sudor Caliente","Tego Calderón","reggaeton",0.783,0.777,0.03,98.7,6868163
"Raíces de Abril","Becky G","urbano acustico",0.523,0.317,0.791,84.8,1539991
"Silencio de Invierno","Ryan Castro","trap latino",0.595,0.583,0.06,74.8,989107
"Neblina Gris","J Balvin","trap latino",0.685,0.487,0.233,76.9,3486793
"Raíces a Mano","Myke Towers","urbano acustico",0.378,0.341,0.713,104,4809685
"Modo Total","Tego Calderón","dembow",0.799,0.878,0.079,125.4,5421405
"Guitarra de Abril","Nicky Jam","urbano acustico",0.465,0.329,0.768,96,1303589
"Silencio Profundo","Wisin & Yandel","trap latino",0.643,0.592,0.238,73.7,2050242
"Luna Clandestino","Ryan Castro","reggaeton",0.811,0.825,0.104,95.6,580900
"Fuego de Barrio","Daddy Yankee","reggaeton",0.791,0.653,0.215,99.7,1744999
"Insomnio de Cristal","Karol G","trap latino",0.513,0.432,0.08,83.2,8230217
"Deja Vu Interior","Becky G","trap latino",0.595,0.326,0.301,72.6,1618203
"Noche de Cali","Becky G","reggaeton",0.811,0.659,0.097,91.9,1837222
"Fiesta de Cali","Wisin & Yandel","trap latino",0.81,0.782,0.033,93,1233531
"Eclipse de Cristal","Maluma","trap latino",0.722,0.527,0.146,82.8,2288366
"Cicatriz Gris","Bad Bunny","trap latino",0.539,0.572,0.164,83.7,3778405
