"id_socio","visitas_mes","antiguedad_meses","gasto_adicional_mes","clases_mes"
1001,16,19,111800,4
1002,6,10,40800,1
1003,6,14,36600,1
1004,15,31,55000,3
1005,10,3,148700,12
1006,11,4,192900,8
1007,14,38,74200,2
1008,3,5,26700,0
1009,4,11,37300,3
1010,20,31,74600,1
1011,1,49,14700,0
1012,23,37,86700,1
1013,11,6,159000,9
1014,2,59,3800,0
1015,15,3,176800,10
1016,8,5,217300,5
1017,4,17,48100,3
1018,19,35,63300,1
1019,13,45,28000,2
1020,5,4,38900,0
1021,17,44,73000,2
1022,5,11,28000,1
1023,11,3,225500,10
1024,1,58,20000,0
1025,18,42,87900,0
1026,1,14,26800,1
1027,17,2,196000,9
1028,7,6,18300,1
1029,15,2,202300,13
1030,15,47,42800,0
1031,8,6,169500,10
1032,5,7,30800,3
1033,12,5,166900,7
1034,6,9,58000,0
1035,6,14,35400,0
1036,20,43,56500,2
1037,21,43,73500,2
1038,11,2,149600,7
1039,10,4,185500,7
1040,5,13,21800,1
1041,2,54,9600,1
1042,7,11,16500,2
1043,18,45,60600,2
1044,13,1,180100,9
1045,1,52,19800,1
1046,15,5,190600,11
1047,18,46,68400,2
1048,13,2,218600,8
1049,4,10,36800,1
1050,1,57,17700,0
1051,6,14,42800,0
1052,12,1,245700,8
1053,3,2,47800,0
1054,1,47,14900,1
1055,13,5,168800,8
1056,12,6,220400,8
1057,14,27,63400,3
1058,8,14,41200,0
1059,21,44,77100,1
1060,18,38,60300,2
1061,17,1,158100,12
1062,5,14,39400,0
1063,4,9,19200,1
1064,4,6,39300,1
1065,7,8,0,0
1066,6,10,42400,2
1067,2,39,13600,0
1068,3,12,16900,2
1069,12,3,267800,6
1070,4,17,39600,2
1071,5,10,29100,3
1072,1,46,5400,0
1073,6,13,44400,1
1074,15,29,67400,2
1075,1,49,0,0
1076,1,49,10100,0
1077,23,47,84800,3
1078,19,51,93900,3
1079,15,4,207600,10
1080,5,8,38600,1
1081,0,9,22700,2
1082,21,24,80000,0
1083,12,4,262200,11
1084,17,3,170000,9
1085,6,13,16200,1
1086,16,32,66100,0
1087,16,32,108500,4
1088,0,43,7400,0
1089,15,4,164300,13
1090,10,2,157000,7
1091,12,4,182900,11
1092,12,2,220700,8
1093,12,5,161800,8
1094,4,10,20300,2
1095,16,31,42300,4
1096,15,5,166200,9
1097,2,13,26000,1
1098,18,45,81800,6
1099,1,14,35400,2
1100,6,13,31700,1
1101,11,5,247200,7
1102,20,46,78500,2
1103,13,2,109200,11
1104,13,28,71000,2
1105,19,36,45400,3
1106,6,2,135700,8
1107,19,34,102600,2
1108,18,28,35200,2
1109,19,49,53100,2
1110,1,33,1200,1
1111,19,30,53500,2
1112,7,15,28900,2
1113,13,2,248700,8
1114,5,8,51000,2
1115,11,5,137700,7
1116,9,2,144200,7
1117,12,1,238800,10
1118,11,4,171300,6
1119,8,1,255600,10
1120,16,46,71900,4
1121,17,31,73300,3
1122,1,34,12300,0
1123,18,40,61400,1
1124,1,53,0,0
1125,20,33,51300,4
1126,14,44,48500,2
1127,0,45,5200,1
1128,6,14,24300,1
1129,18,33,86500,2
1130,13,4,136600,8
1131,12,1,181400,7
1132,14,44,76300,0
1133,12,3,237400,9
1134,21,46,110500,0
1135,6,14,48200,2
1136,6,5,48800,0
1137,15,41,55800,0
1138,14,4,162200,9
1139,1,42,10200,0
1140,0,42,5200,0
1141,8,2,165700,10
1142,1,58,19000,0
1143,17,40,82600,2
1144,1,40,11600,0
1145,15,4,236800,7
1146,18,28,76400,0
1147,18,39,45400,1
1148,5,20,42800,1
1149,6,8,24900,0
1150,19,42,68000,2
1151,23,51,70900,1
1152,5,3,26600,2
1153,2,50,15800,1
1154,0,54,25500,0
1155,11,5,145700,9
1156,10,7,187900,4
1157,6,13,52300,1
1158,19,39,56900,3
1159,20,45,29100,3
1160,8,18,23800,2
1161,12,1,108400,13
1162,15,35,59500,2
1163,15,5,152200,9
1164,16,54,64700,0
1165,17,33,57500,5
1166,19,32,29600,2
1167,19,24,53600,2
1168,5,10,22600,0
1169,0,29,12600,0
1170,13,4,175200,10
1171,2,32,8400,0
1172,6,7,27800,1
1173,1,9,17800,3
1174,0,44,6500,0
1175,4,12,18500,2
1176,15,44,47600,2
1177,0,38,14900,1
1178,17,36,53300,3
1179,17,54,41000,1
1180,20,21,46200,3
1181,19,43,53400,5
1182,7,6,47100,1
1183,17,33,52300,2
1184,24,36,69500,2
1185,8,1,237900,8
1186,2,40,12200,1
1187,3,9,40400,1
1188,12,5,124900,8
1189,3,11,51300,2
1190,3,8,30900,1
1191,5,10,32200,0
1192,17,36,64000,3
1193,9,8,40400,0
1194,14,4,197800,8
1195,2,6,34100,1
1196,5,7,54000,1
1197,5,9,26200,0
1198,9,2,181100,10
1199,23,27,104600,3
1200,13,54,59700,1
1201,23,29,52200,1
1202,16,39,87900,1
1203,1,49,15500,0
1204,1,50,3200,0
1205,3,7,27600,1
1206,3,16,35300,0
1207,8,9,20600,2
1208,16,44,66500,1
1209,5,12,32800,1
1210,4,8,15300,0
1211,3,11,16700,1
1212,3,14,44000,1
1213,3,13,800,2
1214,9,9,25600,1
1215,6,7,33100,2
1216,8,13,27800,3
1217,13,6,243600,5
1218,5,8,16000,2
1219,15,4,143000,11
1220,9,10,27500,0
1221,8,12,52100,2
1222,11,7,254400,6
1223,16,34,82300,0
1224,5,10,15400,1
1225,1,36,22100,0
1226,1,51,7200,0
1227,11,4,204300,10
1228,18,30,93000,2
1229,10,1,235000,10
1230,4,10,18500,3
1231,19,53,67900,4
1232,11,5,149600,9
1233,5,9,38600,1
1234,0,30,15400,2
1235,12,48,105200,1
1236,24,43,70000,2
1237,0,16,39500,0
1238,13,8,97600,12
1239,1,41,9000,1
1240,9,3,190700,11
1241,22,31,35800,2
1242,20,28,49600,2
1243,18,47,76700,1
1244,6,14,26500,2
1245,5,16,29200,0
1246,16,25,75500,2
1247,15,1,259600,12
1248,18,42,61100,0
1249,3,5,21800,1
1250,20,38,64700,0
1251,18,36,61100,2
1252,11,3,140500,8
1253,0,50,9500,1
1254,13,4,88200,12
1255,18,22,68100,1
1256,2,10,18300,2
1257,12,5,144800,8
1258,6,9,20400,3
1259,18,38,24800,2
1260,2,10,29500,1
1261,16,53,27000,1
1262,9,2,148700,12
1263,1,55,7000,0
1264,17,5,173400,9
1265,16,3,189400,8
1266,4,5,43300,1
1267,4,10,37800,0
1268,4,11,40200,0
1269,19,35,78400,2
1270,3,9,27500,0
1271,12,2,202200,7
1272,3,12,41200,1
1273,8,12,18400,0
1274,19,50,91500,4
1275,10,8,206800,9
1276,5,11,49300,1
1277,4,7,2500,1
1278,15,48,44800,4
1279,4,9,28900,1
1280,17,58,122600,3
