track_id,track_name,artist,album,genre,release_year,duration_ms,explicit,key,mode,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,popularity,streams
GK8UnKVUnZ,Track_01,Anuel AA,Anuel_AA_01,urbano latino,2015,209148,0,7,0,0.777809557048739,0.863874464512173,0.594928903097252,0.107305599918463,0.0236213066084498,0.121230313046183,0.0278646876822766,103.302163943641,72,105404
6oZDkJUzQF,Track_02,Anuel AA,Anuel_AA_01,urbano latino,2015,167041,0,2,1,0.925307967354431,0.77864533484353,0.579280357767861,0.0143409557504052,0.0240784411984464,0.278666080122666,0.0556010181644503,133.103726009089,61,179619
DgyTlZxnWa,Track_03,Anuel AA,Anuel_AA_01,urbano latino,2015,218525,0,1,0,0.906346351826168,0.704324403755753,0.660081121703978,0,0.0241126239874678,0.0729934052738511,0.0250494882241874,142.437658860953,23,56395
GH4YG0aWq1,Track_04,Anuel AA,Anuel_AA_01,urbano latino,2015,221032,1,11,1,0.68793293188638,0.567490204561131,0.313895019925904,0.260590720086086,0.00545751083034446,0.23968160555633,0.0823403423739915,75.7874666132668,64,65305
bG76k03kMl,Track_05,Anuel AA,Anuel_AA_01,urbano latino,2015,216374,0,6,1,0.704365878024616,0.576191718673726,0.556051898730645,0.0480459412155697,0.0261678802739107,0.191440984912657,0.0856938109448274,126.267974724085,20,55510
Nn1VoXGLMQ,Track_06,Anuel AA,Anuel_AA_01,urbano latino,2015,190392,0,7,1,0.889113609234155,0.881806126713895,0.642261669869967,0.0780293406217785,0.0131168102866136,0.236046236196784,0.163698545048306,147.123628412626,98,1207899
umjHSHhoeP,Track_07,Anuel AA,Anuel_AA_01,urbano latino,2015,221147,1,3,0,0.752188756720647,0.832684345432658,0.549732419935032,0.0494884230055829,0.00813024892029767,0.0923232785883682,0.101416769764791,126.782074035764,47,145129
xFbkh7dJLy,Track_08,Anuel AA,Anuel_AA_01,urbano latino,2015,215161,0,8,1,0.864067526991913,0.851613758422043,0.649031894773061,0.193674176022374,0.0217349757263239,0.178770972831379,0.0536091962471478,117.514840784306,59,380349
22dEFcPn7z,Track_01,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,212757,1,9,1,0.734243215099547,0.776317676111332,0.876606242342296,0.126619894221245,0.00578278129929811,0.136799869903514,0.0503088012708845,124.277171173128,51,89232
eekVNbxDkQ,Track_02,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,212303,0,6,0,0.888050378399208,0.860735813969229,0.487859352088537,0.0357124852048777,0.0245433503960248,0.113159849022179,0.127959080373114,105.151436747769,27,37396
psyuFDnApy,Track_03,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,197972,0,11,1,0.693785163604857,0.812648272900916,0.622114837914506,0.117548204704404,0.0189870272440274,0.0985006114566501,0.092177542093805,111.12026328816,70,371339
U2cp9zgrEr,Track_04,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,189366,0,0,1,0.819365085096724,0.900076371733695,0.768271764485181,0.115871333419077,0,0.105680104717284,0.0721785833579788,116.832250012197,54,305455
nbC3cnCfON,Track_05,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,191193,0,10,0,0.708859204176068,0.46554865953097,0.643397988936456,0.0690486706295566,0,0.184997740557563,0.0386489944231048,109.739460137718,74,343147
3QYop0ZI2M,Track_06,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,208960,1,8,0,0.927898291350866,0.580945288487973,0.593283667665586,0.0503336669807814,0,0.0379419379426075,0,133.879177468389,51,63038
Gywcxs7aMf,Track_07,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,233496,0,4,1,0.772148844411134,0.395699376120041,0.426097132288253,0.116757702670583,0.0650368360025376,0.119196627139029,0.0294427098089378,157.682810431591,20,36379
dhc7HAAYQO,Track_08,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,217572,1,1,0,0.800713267730584,0.725699308698558,0.625125389766374,0.0634168843996606,0,0,0.0567767131166234,108.725121225227,43,85948
