"fecha","tienda","ciudad","categoria","producto","precio","unidades","canal"
"2026-04-17","Andina Granada","Cali","Alimentos","Pan tajado","7170","5","Online"
"2026-04-18","Andina Cedritos","BOGOTA D.C.","Snacks","Maní salado","3970","1","online"
"2026-04-22","Andina Chapinero","Bogotá","Aseo","Detergente 1kg","13020","3","Online"
"2026-04-26","Andina Granada","Cali","Alimentos","Leche 1L","5280","3","Online"
"2026-03-19","Andina Cedritos","Bogotá","Bebidas","Agua 600ml"," 2500,5","2","Tienda"
"2026-04-09","Andina Granada","Cali","Bebidas","Café molido 500g","15500","1","Tienda"
"30/04/2026","Andina Chapinero","bogotá","Bebidas","Agua 600ml","2450","3","Tienda"
"2026-03-26","Andina Envigado","Medellín","Aseo","Papel higiénico x4","10230","1","Tienda"
"2026-03-05","Andina Cedritos","Bogotá","Aseo","Detergente 1kg","14160","2","Tienda"
"2026-03-09","Andina Ciudad Jardín","cali","Snacks","Chocolatina","2120","2","Tienda"
"2026-04-23","Andina Cedritos","Bogotá","Alimentos","Arroz 1kg","4360","4","Tienda"
"2026-03-22","Andina Chapinero","Bogotá","Alimentos","Arroz 1kg","4120","3","Tienda"
"2026-04-28","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2700","3","Tienda"
"2026-04-17","Andina Cedritos","Bogotá","Alimentos","Aceite 1L","13500","3","Tienda"
"2026-03-25","Andina Envigado","Medellín","Snacks","Chocolatina","2250","3","Tienda"
"2026-04-06","Andina Cedritos","Bogotá","Bebidas","Agua 600ml","2670","5","Online"
"2026-04-10","Andina Cedritos","Bogota","Alimentos","Arroz 1kg"," 4140,5","1","Tienda"
"2026-03-01","Andina Chapinero","Bogotá","Aseo","Detergente 1kg","14230","1","Online"
"2026-03-15","Andina Chapinero","BOGOTA D.C.","Alimentos","Arroz 1kg","4020","2","Tienda"
"2026-04-03","Andina Laureles","medellin","Bebidas","Café molido 500g","16600","2","TIENDA"
"2026-03-22","Andina Granada","Cali","Snacks","Papas fritas","3390","3","Tienda"
"2026-03-11","Andina Envigado","Medellín","Snacks","Papas fritas","3600","2","Tienda"
"2026-04-12","Andina Cedritos","Bogotá","Alimentos","Leche 1L","5140","2","Online"
"2026-04-16","Andina Ciudad Jardín","Cali","Snacks","Chocolatina","2300","3","Tienda"
"2026-03-03","Andina Cedritos","Bogotá","Bebidas","Jugo de caja","3120","2","Tienda"
"2026-03-31","Andina Granada","Cali","Aseo","Detergente 1kg","13100","5","Tienda"
"2026-04-05","Andina Granada","CALI","Snacks","Chocolatina","2150","ND","Tienda"
"2026-04-14","Andina Cedritos","Bogotá","Alimentos","Huevos x30","19280","1","Online"
"10/03/2026","Andina Laureles","Medellín","Alimentos","Arroz 1kg","4460","3","Tienda"
"2026-03-17","Andina Chapinero","Bogota","Aseo","Papel higiénico x4","10090","1","Tienda"
"2026-03-18","Andina Ciudad Jardín","Cali","Alimentos","Arroz 1kg","4240","5","Tienda"
"2026-03-03","Andina Ciudad Jardín","Cali","Alimentos","Huevos x30","19050","6","Tienda"
"2026-04-22","Andina Granada","Cali","Bebidas","Café molido 500g","15850","3","Tienda"
"2026-04-16","Andina Laureles","Medellín","Aseo","Papel higiénico x4","10270,5","4","Tienda"
"2026-04-10","Andina Ciudad Jardín","Cali","Aseo","Jabón de manos","5590","5","Tienda"
"2026-03-31","Andina Ciudad Jardín","Cali","Snacks","Papas fritas","3520","1","Tienda"
"2026-04-06","Andina Granada","Cali","Alimentos","Pan tajado","7250","1","Online"
"2026-03-20","Andina Cedritos","Bogotá","Alimentos","Huevos x30","19150","3","Online"
"2026-04-22","Andina Chapinero","Bogotá","Bebidas","Gaseosa 1.5L","6280","2","Tienda"
"2026-04-03","Andina Laureles","Medellín","Aseo","Jabón de manos","5350","1","Tienda"
"2026-03-14","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","13000","4","Online"
"2026-03-13","Andina Granada","Cali","Alimentos","Arroz 1kg","4440","2","Tienda"
"2026-03-11","Andina Ciudad Jardín","Cali","Alimentos","Leche 1L"," 4670,5","3","Tienda"
"2026-03-30","Andina Cedritos","Bogotá","Alimentos","Leche 1L","4740","7","tienda"
"2026-03-29","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2490","2","Tienda"
