"ingreso_m","historial","deuda_actual","antiguedad_lab","edad","decision_real","decision_modelo"
2.88,1,23.08,2.2,36,"Rechazado","Rechazado"
4.22,1,6.47,4.8,43,"Aprobado","Aprobado"
6.29,1,9.73,4.6,37,"Aprobado","Aprobado"
5.77,1,6.03,11.4,49,"Aprobado","Aprobado"
2.64,0,18.94,1.2,25,"Rechazado","Rechazado"
3.04,1,6.27,4.5,45,"Aprobado","Aprobado"
5.78,0,5.1,5.9,48,"Aprobado","Aprobado"
2.78,0,9.44,2.5,24,"Rechazado","Rechazado"
1.49,0,24,0.4,37,"Rechazado","Rechazado"
5.57,1,11.12,7.4,27,"Aprobado","Aprobado"
3.23,1,16.77,2,39,"Rechazado","Aprobado"
4.31,1,8.19,5.8,40,"Aprobado","Aprobado"
5.43,0,9.08,5.4,39,"Aprobado","Aprobado"
4.21,1,6.3,3.9,36,"Aprobado","Aprobado"
3.52,1,18.72,1.7,46,"Rechazado","Aprobado"
3.41,1,27.97,4.1,21,"Rechazado","Aprobado"
1.74,0,5.94,2.1,25,"Rechazado","Rechazado"
3.93,0,22.22,0,26,"Rechazado","Rechazado"
6.45,1,4.32,10.4,28,"Aprobado","Aprobado"
4.32,1,10.24,3.3,34,"Aprobado","Rechazado"
5.28,1,19.27,2.9,28,"Rechazado","Rechazado"
2.72,0,15.8,3.3,34,"Rechazado","Rechazado"
7.29,1,9.36,7.2,20,"Aprobado","Aprobado"
6.15,1,11.01,7.5,42,"Aprobado","Aprobado"
4.91,1,12.42,6,43,"Aprobado","Aprobado"
5.52,1,7.29,2.8,36,"Aprobado","Rechazado"
3.79,0,12.26,7.6,42,"Aprobado","Aprobado"
5.02,1,5.91,4.9,35,"Aprobado","Aprobado"
3.36,0,27.5,3.5,36,"Rechazado","Rechazado"
4.82,1,7.09,6.4,45,"Aprobado","Aprobado"
3.42,0,13.86,2.9,30,"Rechazado","Rechazado"
4.61,1,6.43,5.4,31,"Aprobado","Aprobado"
0.82,0,13.63,1,22,"Rechazado","Rechazado"
1.05,0,21.6,0,18,"Rechazado","Rechazado"
1.78,1,24.94,0,42,"Rechazado","Aprobado"
3.16,1,24.64,1.7,26,"Rechazado","Rechazado"
2.56,0,18.31,2.7,34,"Rechazado","Rechazado"
6.72,1,13.29,6.7,48,"Aprobado","Aprobado"
5.46,1,6.47,9.1,57,"Aprobado","Aprobado"
5.39,0,8.03,7.3,37,"Aprobado","Aprobado"
5.8,1,7.81,8.3,24,"Aprobado","Aprobado"
3.42,1,7.67,7.8,50,"Aprobado","Aprobado"
5.26,1,6.07,2,40,"Aprobado","Aprobado"
5.29,1,5.61,3.4,40,"Aprobado","Aprobado"
2.29,0,23.82,0,31,"Rechazado","Rechazado"
5.42,1,8.46,6.5,24,"Aprobado","Aprobado"
2.34,0,20.51,1.7,37,"Rechazado","Rechazado"
2.41,1,16.88,3,26,"Rechazado","Rechazado"
6.35,1,12,5.6,55,"Aprobado","Aprobado"
4.2,0,19.69,2.4,39,"Rechazado","Rechazado"
4.79,1,4.31,8.9,41,"Aprobado","Aprobado"
1.95,0,22.84,0.9,35,"Rechazado","Rechazado"
1.89,0,12.91,1.9,22,"Rechazado","Rechazado"
5.04,1,20.47,1.4,37,"Rechazado","Rechazado"
4.58,1,8.92,10.3,28,"Aprobado","Aprobado"
6.06,1,7.77,2.7,31,"Aprobado","Rechazado"
5.31,1,5.37,6,36,"Aprobado","Aprobado"
4.53,1,8.23,6.7,42,"Aprobado","Aprobado"
2.24,0,18.06,3.5,18,"Rechazado","Rechazado"
3.88,1,6.47,6,38,"Aprobado","Aprobado"
