"parcial_1","parcial_2","tareas","quices","asistencia","nota_real","nota_modelo"
3.5,3.1,4.3,3.4,80,3.38,3.24
3.1,3,4.7,0.9,89,3.43,3.24
2.1,2.2,5,4.3,80,3.38,3.44
3.7,2.7,4.2,2.5,71,3.43,2.97
4.7,4.7,3,3.8,38,4.13,3.91
4,2.4,3.4,3.8,83,3.45,3.64
2.7,3.2,4.4,2.8,95,3.86,3.24
4.2,2.9,3.8,4.6,58,3.92,3.64
3.8,3.4,3.6,4.4,91,4.1,4.07
3.7,2.5,3,3.7,78,3.65,3.44
3.8,2.9,2.7,3.9,75,3.31,2.75
3.3,3.5,4.4,4.1,79,3.95,3.91
2.2,2.9,4.4,2,63,2.76,2.97
3.1,3.6,3.6,5,58,3.45,3.63
4.3,2.6,3,4.1,80,3.48,3.64
2.3,3.5,3,2.5,72,2.8,3.3
3.3,2.9,3.4,2.2,78,3.87,3.24
3.2,2.5,3.4,3.1,100,3.09,3.24
2.8,1.6,3.6,4,87,3.04,3.44
2,3.8,3.8,4.5,72,3.46,3.63
3.3,3,3.1,2.5,89,3.4,3.24
3.7,4.9,3.7,3.5,96,4.19,4.07
3.2,2.7,3.9,3.5,58,3.13,2.97
2.8,4.4,2.8,2.3,52,3.05,3.3
2,2.9,2.2,3.6,73,2.39,2.75
2.6,3.7,4.5,4.6,74,3.85,3.63
4.2,2.4,3.7,4.5,81,3.61,3.64
3.1,3.8,4,3,52,4.01,3.63
2.9,2.1,3.7,2.9,62,2.88,2.97
2.4,4.3,3.3,3.3,73,3.48,3.3
3.9,2.5,3.8,2.8,47,3.07,3.64
3.9,1.8,2.9,3.5,75,2.53,3.27
3.6,3.4,2.9,2.3,80,3.02,3.65
2.7,1.4,4.1,3.1,74,2.49,3.28
3.5,1.8,2.7,2.8,73,2.45,2.75
3.4,3,4.3,2.8,85,3.64,3.24
4.1,3.7,2.8,3.6,68,3.6,3.65
4.7,3.2,3.7,3.2,86,4.24,3.64
1.6,4,4.1,2.8,88,3.74,3.63
4.1,3.1,3.8,2.9,74,3.19,3.64
3.1,3.9,4,4,53,3.54,3.63
3.5,4.5,1.8,2.2,82,3.21,3.65
2.8,3.6,3.4,4.4,64,3.63,3.3
2.8,4.2,4.1,4.6,79,3.34,3.63
2.9,3.2,2.8,2.7,82,3.08,3.24
4.3,3,3.8,3.9,77,3.47,3.64
3.4,4.3,4.3,3.5,93,4.3,4.07
2.1,3.6,3.6,2.8,100,3.43,3.63
3.8,3.2,4.3,5,73,3.97,3.28
2.4,4.3,4.1,3,86,3.46,3.63
3.2,3.4,4,4.2,63,3.31,3.91
2.6,4.4,4.2,4.8,59,3.61,3.63
3.2,1.7,3.5,3.5,66,2.62,2.97
3.5,4,3.8,3.3,75,3.92,3.65
3,3,4.2,2.7,71,3.53,2.97
3.2,2.8,4.6,3.8,65,3.59,2.97
1.5,2.9,3.7,3,94,2.72,3.24
3.4,3.1,4.6,1.7,61,3.45,2.97
2.6,3.1,3.5,3.7,89,3.72,3.44
3.9,4.5,3.5,2.3,78,3.82,3.65
