"ingreso_m","historial","deuda_actual","antiguedad_lab","edad","decision_real","decision_modelo"
6.36,1,7.19,12.7,38,"Aprobado","Aprobado"
5.16,1,3.54,5.7,44,"Aprobado","Aprobado"
5.17,1,12.31,3,42,"Aprobado","Aprobado"
3.59,1,20.32,0,28,"Rechazado","Aprobado"
1.9,1,16.31,0.1,27,"Rechazado","Rechazado"
3.69,0,22.32,1.7,23,"Rechazado","Rechazado"
5.07,1,5.35,6.4,38,"Aprobado","Aprobado"
2.32,0,10.38,1.8,32,"Rechazado","Aprobado"
5.84,0,4.52,5.9,49,"Aprobado","Aprobado"
4.28,0,24.47,0,21,"Rechazado","Rechazado"
6.63,1,8.12,3.4,34,"Aprobado","Rechazado"
6.7,1,6.15,11.7,24,"Aprobado","Aprobado"
6.61,1,9.72,10.1,23,"Aprobado","Aprobado"
6.37,1,8.63,5.4,36,"Aprobado","Aprobado"
2.45,0,16.33,1.6,26,"Rechazado","Rechazado"
3.52,0,24.42,0.2,39,"Rechazado","Rechazado"
4.7,1,13.76,4.1,57,"Aprobado","Aprobado"
8.18,1,9.36,9.8,37,"Aprobado","Aprobado"
6.01,1,8.89,7.5,26,"Aprobado","Aprobado"
7.56,1,3.49,7.1,32,"Aprobado","Aprobado"
7.05,1,13.68,3.1,36,"Aprobado","Aprobado"
6.43,1,8.25,3.2,25,"Aprobado","Aprobado"
2.34,0,19.25,3.8,28,"Rechazado","Rechazado"
2.84,0,18.12,0.2,27,"Rechazado","Rechazado"
2.84,0,17.28,0.2,21,"Rechazado","Rechazado"
4.88,1,10.84,7.7,36,"Aprobado","Aprobado"
7.26,1,5.36,3.8,25,"Aprobado","Aprobado"
4.63,0,17.85,4.7,35,"Rechazado","Aprobado"
0.85,0,18.46,0,29,"Rechazado","Rechazado"
3.49,0,25.15,1.6,41,"Rechazado","Aprobado"
1.94,0,24.62,5.1,30,"Rechazado","Rechazado"
1.73,0,14.13,1.3,31,"Rechazado","Aprobado"
4.66,1,9.92,9,32,"Aprobado","Aprobado"
4.97,0,14.87,7.7,38,"Aprobado","Aprobado"
4.43,1,4.53,9.8,47,"Aprobado","Aprobado"
1.93,0,22.11,3,33,"Rechazado","Rechazado"
6.97,1,8.2,0,50,"Aprobado","Aprobado"
4.85,1,10.52,8.4,25,"Aprobado","Aprobado"
1.8,0,20.49,3.1,44,"Rechazado","Aprobado"
5.74,1,5.41,4.8,42,"Aprobado","Aprobado"
2.95,0,15.13,0.5,22,"Rechazado","Aprobado"
4.66,0,22.57,6.1,28,"Rechazado","Rechazado"
3.63,1,12.15,9.4,34,"Aprobado","Aprobado"
4.97,0,10.03,9.4,26,"Aprobado","Aprobado"
4.69,0,15.21,3.9,34,"Aprobado","Aprobado"
2.82,0,23.33,1.6,36,"Rechazado","Rechazado"
1.44,1,20.06,0,29,"Rechazado","Rechazado"
3.17,1,8.75,8,53,"Aprobado","Aprobado"
4.3,1,7.39,6.7,30,"Aprobado","Aprobado"
4.38,0,23.19,5.5,31,"Rechazado","Rechazado"
2.71,1,16.01,0,33,"Rechazado","Rechazado"
5.77,1,6.23,5.6,41,"Aprobado","Aprobado"
4.67,1,0,7.3,42,"Aprobado","Aprobado"
4.57,1,13.39,1.1,38,"Rechazado","Rechazado"
5.79,1,7.37,4.6,38,"Aprobado","Aprobado"
4.23,1,8.98,10,33,"Aprobado","Aprobado"
4.87,0,18.84,2,39,"Rechazado","Aprobado"
4.76,1,4.71,8.3,29,"Aprobado","Aprobado"
6.19,1,10.6,7.3,45,"Aprobado","Aprobado"
2.03,1,23.25,0,31,"Rechazado","Rechazado"
2.92,1,14.17,0.3,31,"Rechazado","Rechazado"
4.66,0,5.98,11.4,29,"Aprobado","Aprobado"
5.57,1,5.97,2.9,42,"Aprobado","Aprobado"
3.67,0,23.63,2.5,33,"Rechazado","Rechazado"
5.98,1,8,2.4,36,"Aprobado","Aprobado"
3.83,1,11.92,4.1,45,"Aprobado","Aprobado"
3.69,0,17.43,2.6,28,"Rechazado","Aprobado"
7.43,1,15.08,5.3,40,"Aprobado","Aprobado"
6.33,1,11.32,8.4,28,"Aprobado","Aprobado"
2.17,0,23.2,2.6,31,"Rechazado","Rechazado"
3.82,1,17.31,2.2,35,"Rechazado","Aprobado"
3.82,0,16.86,2.5,21,"Rechazado","Rechazado"
2.13,0,20.68,0.5,35,"Rechazado","Rechazado"
3.26,0,24.08,0.9,26,"Rechazado","Rechazado"
5.66,1,5.53,3.5,44,"Aprobado","Aprobado"
7.13,1,7.61,3,38,"Aprobado","Aprobado"
3.4,0,12.05,1,29,"Rechazado","Aprobado"
2.55,0,19.83,1,26,"Rechazado","Rechazado"
6.33,1,4.71,6.1,51,"Aprobado","Aprobado"
5.47,0,7.86,11,22,"Aprobado","Aprobado"
