"parcial_1","parcial_2","tareas","quices","asistencia","nota_real","nota_modelo"
4.7,3.9,4.7,2.5,100,4.06,3.3
2.8,2.4,3.7,2.6,100,3.34,2.4
3.8,2.1,3.4,3.6,66,3.13,3.9
3.4,4.3,3.8,2.5,67,3.71,4.1
4.8,4,2.7,3.3,54,3.54,3.3
4.5,4,3.4,2.3,59,3.93,4.2
3.4,3.7,4.1,3.3,45,3.59,3.8
3.7,3.3,3.2,3.4,85,3.68,2.7
0.8,2.2,3.1,4.3,61,2.53,3.5
3.1,2.6,3.1,3.2,73,3.39,2.6
3.7,2.9,4.6,3.9,100,4.09,3.2
5,4,3.9,1.9,85,3.93,3.6
3.3,2.9,2.6,3.6,56,3.14,3.9
3.7,3.7,3.1,3.3,62,3.49,2.8
3.3,3.6,2.2,4.4,47,3.65,3.4
2.2,2.8,3.6,2.1,57,2.42,3.7
3.3,1.9,3.8,3.9,97,3.39,3.3
3.7,2.9,3.4,3,82,3.22,2.2
3.4,2.8,2.8,3.3,54,2.58,3.6
3.8,1.7,2.4,3.3,84,2.84,3.5
3.2,2.8,3.2,3.5,86,3.07,3.7
2.8,4.2,2,2.8,59,3.14,3.2
4,2.5,4.3,3.5,73,3.63,4
2.2,2.5,3.1,3.6,77,2.93,3.2
3.8,4.7,1.7,3.1,80,3.68,3.3
3.3,3.2,4.3,3,87,3.79,3.3
1.1,1.6,3.8,4.9,83,2.57,4.3
2.8,2,1.7,2.4,76,1.83,3.4
4.2,5,3.4,3.1,100,4.62,2.2
1.5,4.1,2.9,3.8,74,3.15,2.9
4.4,2.9,4.5,3.4,49,3.76,3.7
4.4,1.3,4.9,4.3,61,3.51,2.9
4.1,1.4,3.7,3.7,69,3.07,2.7
3.1,1.9,4.3,3.9,88,3.46,2.8
2.8,1.8,4.6,4.1,54,2.67,3.3
2,2.8,3.3,2.1,55,2.75,2.8
3.1,4.2,3.9,3.2,71,4.01,3.4
3,2.7,3.4,3.8,84,3.68,3.2
4.7,2.4,3.2,4.6,86,3.59,3.2
3.4,2,3.9,1.7,70,2.84,2.8
2.8,2,3.4,2.5,62,2.97,2.7
4,2.7,4.2,4.1,100,3.72,4.1
3.9,2,3.3,4.1,82,3.45,3.7
2.8,4.7,2.9,2.9,76,3.53,3.3
3.6,2.8,4,2,84,3.2,3.3
2.7,4,4.2,2.5,64,3.46,3.4
2.7,2.5,2.5,4.5,78,3,4.2
2.5,3.2,2.6,1.5,82,2.78,2.9
2.9,2.2,3.7,3,64,2.78,2.5
2.4,2.4,3.7,3.7,71,3.17,3.2
3.9,2.7,3.2,3.2,83,3.85,3.6
3.7,2.9,4.6,3.3,52,3.34,3.3
3.1,3.3,2.4,4.6,92,3.19,3
4.5,3.2,2.6,3,72,3.26,3.7
3.6,3.8,3.3,3.5,66,3.63,4.1
3.8,2.4,3.7,2.9,63,3.19,3.2
2.9,4,2.8,3.7,99,3.39,4.3
4.3,3.6,4.3,3,70,3.91,2.6
3.3,1.7,3.4,3.6,76,2.96,2.7
2.8,1.9,2.8,3.2,66,2.76,3.7
