id,sexo,edad,anios_educacion,nivel_educativo,departamento,ingreso_laboral,horas_semana
1,hombre,38,3,primaria,Antioquia,781242,48
2,mujer,23,11,media,Antioquia,1081242,60
3,mujer,21,11,media,Antioquia,600000,30
4,hombre,62,2,primaria,Antioquia,900000,72
5,mujer,25,17,superior,Antioquia,781242,40
6,mujer,24,15,superior,Antioquia,955000,48
7,mujer,45,5,primaria,Antioquia,200000,48
8,mujer,24,11,media,Antioquia,480000,24
9,hombre,23,13,superior,Antioquia,800000,48
10,mujer,60,14,superior,Antioquia,2100000,60
11,mujer,34,19,superior,Antioquia,2500000,54
12,hombre,53,5,primaria,Antioquia,1000000,60
13,hombre,24,13,superior,Antioquia,2000000,72
14,hombre,24,11,media,Antioquia,900000,70
15,hombre,49,5,primaria,Antioquia,2350000,48
16,mujer,48,11,media,Antioquia,1000000,48
17,hombre,46,5,primaria,Antioquia,250000,24
18,hombre,30,7,secundaria,Antioquia,250000,18
19,hombre,55,11,media,Antioquia,970000,48
20,hombre,21,13,superior,Antioquia,2000000,30
21,mujer,37,11,media,Antioquia,901242,48
22,mujer,53,11,media,Antioquia,30000,5
23,hombre,42,14,superior,Antioquia,1000000,56
24,hombre,26,14,superior,Antioquia,1400000,48
25,hombre,58,9,secundaria,Antioquia,1200000,60
26,hombre,22,15,superior,Antioquia,1400000,10
27,mujer,26,13,superior,Antioquia,1200000,48
28,hombre,35,11,media,Antioquia,1200000,60
29,mujer,26,13,superior,Antioquia,781242,48
30,hombre,28,11,media,Antioquia,884000,48
31,hombre,30,11,superior,Antioquia,1280000,48
32,mujer,30,14,superior,Antioquia,900000,48
33,hombre,30,11,media,Antioquia,1100000,48
34,mujer,25,19,superior,Antioquia,1000000,48
35,mujer,60,8,secundaria,Antioquia,300000,54
36,mujer,59,11,media,Antioquia,140000,5
37,hombre,61,14,superior,Antioquia,800000,56
38,mujer,38,17,superior,Antioquia,2900000,45
39,hombre,49,11,media,Antioquia,1600000,50
40,mujer,50,13,superior,Antioquia,800000,48
41,hombre,30,14,superior,Antioquia,1200000,48
42,hombre,48,17,superior,Antioquia,2750000,84
43,hombre,60,5,primaria,Antioquia,800000,40
44,hombre,58,5,primaria,Antioquia,800000,56
45,mujer,49,6,secundaria,Antioquia,500000,36
46,hombre,57,8,secundaria,Antioquia,1500000,77
47,hombre,27,12,superior,Antioquia,800000,48
48,mujer,57,5,primaria,Antioquia,1000000,60
49,hombre,49,14,superior,Antioquia,900000,50
50,mujer,26,12,superior,Antioquia,781242,45
51,hombre,42,16,superior,Antioquia,4495000,40
52,hombre,35,20,superior,Antioquia,1500000,40
53,mujer,63,11,media,Antioquia,2300000,48
54,hombre,63,14,superior,Antioquia,1600000,48
55,mujer,43,16,superior,Antioquia,1500000,40
56,mujer,44,11,media,Antioquia,1600000,48
57,hombre,50,8,secundaria,Antioquia,800000,50
58,mujer,47,11,media,Antioquia,450000,24
59,hombre,52,16,superior,Antioquia,3000000,40
60,hombre,28,11,media,Antioquia,1500000,48
61,mujer,29,11,media,Antioquia,880000,60
62,hombre,26,16,superior,Antioquia,1600000,48
63,hombre,26,11,superior,Antioquia,830000,48
64,hombre,26,16,superior,Antioquia,2000000,48
65,mujer,28,14,superior,Antioquia,800000,48
66,hombre,26,11,media,Antioquia,781200,48
67,hombre,46,8,secundaria,Antioquia,781242,40
68,mujer,48,14,superior,Antioquia,1805000,40
69,hombre,59,18,superior,Antioquia,3600000,48
70,mujer,51,15,superior,Antioquia,1600000,45
71,hombre,53,11,media,Antioquia,1000000,48
72,hombre,24,14,superior,Antioquia,900000,72
73,mujer,41,16,superior,Antioquia,2000000,48
74,mujer,37,14,superior,Antioquia,1240000,48
75,mujer,35,16,superior,Antioquia,3500000,48
76,hombre,32,11,media,Antioquia,900000,56
77,mujer,60,5,primaria,Antioquia,800000,48
78,mujer,39,11,media,Antioquia,100000,28
79,hombre,44,14,superior,Antioquia,1500000,48
80,hombre,50,14,superior,Antioquia,2500000,48
81,mujer,56,11,media,Antioquia,560000,8
82,hombre,19,12,superior,Antioquia,360000,25
83,hombre,57,21,superior,Antioquia,5540000,44
84,mujer,48,11,media,Antioquia,800000,48
85,mujer,53,18,superior,Antioquia,2700000,48
86,mujer,26,16,superior,Antioquia,1500000,48
87,hombre,22,8,secundaria,Antioquia,850000,48
88,hombre,63,11,media,Antioquia,1000000,78
89,mujer,60,14,superior,Antioquia,1500000,48
90,hombre,50,11,media,Antioquia,781200,60
91,mujer,50,11,media,Antioquia,781200,48
92,hombre,35,13,superior,Antioquia,2180000,48
93,mujer,31,13,superior,Antioquia,1380000,42
94,hombre,58,11,media,Antioquia,781000,84
95,hombre,28,14,superior,Antioquia,1200000,72
96,hombre,37,8,secundaria,Antioquia,600000,35
97,mujer,28,11,media,Antioquia,120000,10
98,hombre,58,16,superior,Antioquia,4000000,48
99,mujer,53,11,media,Antioquia,2400000,48
100,hombre,23,16,superior,Antioquia,2000000,24
101,mujer,23,15,superior,Antioquia,3200000,40
102,mujer,34,5,primaria,Antioquia,1261242,60
103,mujer,22,13,superior,Antioquia,781242,48
104,mujer,29,16,superior,Antioquia,800000,48
105,hombre,36,5,primaria,Antioquia,1500000,40
106,mujer,42,11,media,Antioquia,1400000,72
107,mujer,36,16,superior,Antioquia,2500000,48
