id_empresa,cod_sector,sector_nombre,departamento,anio,tamano,num_empleados,ventas_millones,gasto_id_millones,innova_producto,innova_proceso,innova_organizacional,exporta
E0104,C,MANUFACTURA,Bogota D.C.,2022,Pequena,24,"857,3",9.5,1,No,Si,NO
E0439,I,HOTELERIA,Atlantico,2022,mediana,100,1166.2,106.4,0,Si ,SI,NO
E0246,G,Comercio al por menor,Cundinamarca,2022,Mediana,100,"1737,2",,no,no,no,0
E0072,C,Manufactura,Bogota D.C.,2022,pequena,42,623.9,7.0,si,Si,NO,No 
E0073,I,alojamiento y comida,valle del cauca,2022,PEQUENA,24,1417.9,6.5,Si,No ,0,NO
E0087,G,COMERCIO,Antioquia,2022,Micro,-6,"235,5",9.6,Si,No ,No ,0
E0467,C,Industria manufacturera,Bogota,2022,micro,10,68.7,0.4,1,Si ,Si,Si
E0337,M,servicios profesionales,ANTIOQUIA,2022,PEQUENA,27,0,39.1,0,Si ,0,0
E0478,G, comercio,BOGOTA,2022,micro,,330.6,8.0,1,NO,SI,No
E0328,J,TIC,valle del cauca,2022,Micro,8,123.0,8.3,NO,No ,No ,no
E0348,I,alojamiento y comida,antioquia,2022,pequena,26,"274,0",,No,No,0,no
E0406,C, Manufactura ,Bogota,2022,Pequena,26,781.3,49.7,no,0,SI,no
E0007,G,comercio, VALLE ,2022,MEDIANA,157,"1309,9",,0,no,0,No 
E0257,I,Hoteles y restaurantes,Atlantico,2022,mediana,184,"6161,6",284.4,No ,1,NO,NO
E0444,I,Hoteles y restaurantes,valle del cauca,2022,mediana,80,"4432,2",,NO,No,NO,no
E0344,G, comercio,Valle,2022,grande,,13836.1,,NO,NO,0,No 
E0420,C,Industria manufacturera,Valle,2022,Micro,10,32.6,,No,,NO,No
E0421,J,Tecnologia,ANTIOQUIA,2022,PEQUENA,48,742.6,4.3,0,1,No ,0
E0441,I,Hoteles y restaurantes,Valle del cauca,2022,Pequena ,48,0,,NO,No ,0,No 
E0162,F,construccion, Antioquia,2022,PEQUENA,12,"152,0",37.3,,NO,0,NO
E0150,G,Comercio,BOGOTA,2022,Pequena,20,"1301,5",20.9,1,NO,No ,No
E0237,G, comercio,Valle del Cauca,2022,MEDIANA,0,2357.1,,si,,No,1
E0045,G,COMERCIO,BOGOTA,2022,pequena,32,1197.8,42.9,Si ,No,NO,Si
E0033,J,INFORMACION Y COMUNICACIONES,valle del cauca,2022,micro,8,233.3,13.5,No ,No ,1,SI
E0079,G,Comercio,ATLANTICO,2022,pequena,21,62528.5,10.4,no,No,Si,1
E0285,G,Comercio al por menor,BOGOTA,2022,micro,2,79.4,0,No,NO,Si,no
E0122,G,Comercio,Atlantico ,2022,micro,8,57.8,,no,no,no,NO
E0249,F,Construccion ,Cundinamarca,2022,MICRO,6,103.0,2.0,NO,Si,No,
E0449,C,Manufactura,ANTIOQUIA,2022,micro,2,165.6,0,SI,No,NO,No
E0359,J,INFORMACION Y COMUNICACIONES,ANTIOQUIA,2022,Micro,6,"215,9",,NO,si,No,
E0077,J,INFORMACION Y COMUNICACIONES,Valle del Cauca,2022,MEDIANA,100,787.6,,0,0,NO,0
E0408,G,Comercio,Bogota D.C.,2022,micro,n/d,"11,5",,NO,NO,0,NO
E0352,G,comercio,Bogota,2022,micro,10,"45,8",0,Si ,0,0,no
E0055,G,Comercio,cundinamarca,2022,Micro,10,216.2,,No ,no,0,No
E0336,I,HOTELERIA,CUNDINAMARCA,2022,MICRO,10,"30,0",,si,NO,0,NO
E0010,J,Informacion y comunicaciones,bogota,2022,PEQUENA,14,"338,5",87.3,NO,Si,SI,No
e0047,F,Construccion,Antioquia,2022,MICRO,1,56.5,,No,No,No ,no
E0031,M,Profesionales,valle del cauca,2022,PEQUENA,12,254.8,,No,NO,No,NO
E0345,H,Transporte y almacenamiento,bogota,2022,micro,7,26.4,,no,No,NO,no
E0220,G,comercio,Valle del Cauca,2022,micro,5,11667.7,0.6,0,,SI,SI
E0462,C, Manufactura ,ATLANTICO,2022,GRANDE,521,8310.4,250.7,si,NO,No,no
E0264,F,Construccion ,Valle del cauca,2022,MEDIANA,165,,,NO,0,No ,0
E0434,I,Hoteles y restaurantes,Antioquia,2022,PEQUENA,17,733.5,,0,no,NO,no
E0480,F,Construccion, VALLE ,2022,mediana,92,1763.7,,0,No ,No ,no
E0131,I,alojamiento y comida,Valle del Cauca,2022,pequena,29,162.6,,0,no,NO,
E0387,G,Comercio al por menor,Bogota,2022,mediana,69,1357.1,,No ,No ,no,si
