departamento,n,ingreso_med,educ_prom
Bogota D.C.,1155,1e+06,11.8969696969697
Antioquia,1471,901242,11.1917063222298
Meta,731,9e+05,10.8235294117647
Santander,1149,9e+05,10.6109660574413
Valle del Cauca,1068,9e+05,10.8670411985019
Huila,894,837250,10.5805369127517
Caldas,801,828116,11.4332084893883
Choco,619,828116,11.3925686591276
Tolima,780,828116,10.9179487179487
Caqueta,686,806000,10.7201166180758
Atlantico,1358,8e+05,10.6531664212077
Bolivar,994,8e+05,10.5060362173038
Boyaca,686,8e+05,12.2594752186589
Cesar,794,8e+05,11.1561712846348
Magdalena,1011,8e+05,11.0415430267062
Quindio,860,8e+05,10.3627906976744
Risaralda,982,8e+05,10.7158859470468
Cundinamarca,353,792128,9.65722379603399
Cauca,882,782000,10.7052154195011
Cordoba,941,781242,10.2837407013815
La Guajira,836,781242,11.0598086124402
N. de Santander,649,781242,10.0539291217257
Narino,856,780000,10.4707943925234
Sucre,1265,7e+05,10.1928853754941
