"part","term","statistic","(1) Simple","(2) + Edad","(3) + Sexo","(4) + EF depto"
"estimates","(Intercept)","estimate","12.576***","12.179***","12.282***",""
"estimates","(Intercept)","std.error","(0.014)","(0.025)","(0.024)",""
"estimates","Anios de educacion","estimate","0.093***","0.099***","0.104***","0.103***"
"estimates","Anios de educacion","std.error","(0.001)","(0.001)","(0.001)","(0.001)"
"estimates","Edad","estimate","","0.008***","0.009***","0.009***"
"estimates","Edad","std.error","","(0.000)","(0.000)","(0.000)"
"estimates","Mujer","estimate","","","-0.411***","-0.413***"
"estimates","Mujer","std.error","","","(0.010)","(0.010)"
"gof","Num.Obs.","","21821","21821","21821","21821"
"gof","R2","","0.205","0.219","0.271","0.289"
"gof","R2 Adj.","","0.205","0.218","0.271","0.288"
"gof","R2 Within","","","","","0.269"
"gof","R2 Within Adj.","","","","","0.269"
"gof","AIC","","51695.0","51327.3","49808.4","49323.2"
"gof","BIC","","51719.0","51359.2","49848.4","49538.9"
"gof","Log.Lik.","","-25844.523","-25659.642","-24899.218",""
"gof","RMSE","","0.79","0.78","0.76","0.75"
"gof","FE: departamento","","","","","X"
